City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Fare,PF,77.56,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
3,Veraval,IN,83.39,overcast clouds,20.9,70.3667,Lords Inn Somnath
8,Pocone,BR,77.47,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
11,Pokhara,NP,80.28,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
13,Atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Villa Enata
24,Urucui,BR,77.58,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
32,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
33,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
38,Palimbang,PH,82.11,moderate rain,6.2106,124.1894,Felmar Beach resort
39,Bubaque,GW,76.46,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
42,Coahuayana,MX,75.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
46,Porto Novo,BJ,75.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
53,Saint-Georges,GD,79.56,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
69,Pointe Michel,DM,80.71,overcast clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
74,Sabha,LY,80.33,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
75,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
87,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
90,Sao Filipe,CV,78.24,light rain,14.8961,-24.4956,Hotel Xaguate
95,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
96,Aurangabad,IN,78.89,haze,19.8833,75.3333,Vivanta Aurangabad
104,Changli,CN,87.04,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
105,Kampot,KH,84.25,light rain,10.6167,104.1833,Two Moons Hotel
107,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
108,Brownsville,US,84.15,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
111,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
114,Shenjiamen,CN,84.9,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
115,Selma,US,87.85,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
116,Sur,OM,88.56,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
118,Miracema Do Tocantins,BR,80.01,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
121,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,Scoop Guest House
122,Bethel,US,79.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
123,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
129,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
130,Deogarh,IN,83.59,overcast clouds,21.5333,84.7333,Amit Henej House
131,Qiongshan,CN,87.78,broken clouds,20.0058,110.3542,Sun City Restaurant
136,Bilma,NE,89.91,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
141,Khawhai,IN,77.29,moderate rain,23.3667,93.1167,Homestay Khawhai
142,Takayama,JP,83.44,broken clouds,36.1333,137.25,Country Hotel Takayama
144,Katsuura,JP,83.39,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
147,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
151,Bajil,YE,85.26,overcast clouds,15.0584,43.2851,فندق حضرموت
152,Hasaki,JP,84.6,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
153,Morehead,US,77.79,clear sky,37.2711,-87.1764,CCI Express Inn
156,Westport,US,81.86,broken clouds,41.1415,-73.3579,The Westport Inn
157,Kavieng,PG,83.43,light rain,-2.5744,150.7967,Nusa Island Retreat
160,Shingu,JP,84.97,overcast clouds,33.7333,135.9833,Shingu UI Hotel
162,Sarmanovo,RU,75.88,scattered clouds,55.2553,52.5891,Gostinitsa
163,Kirakira,SB,84.69,broken clouds,-10.4544,161.9205,SanBiz Lodge
