City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Katsuura,35.1333,140.3,80.71,86,36,7.58,JP,2022-08-07 00:53:53
1,Albany,42.6001,-73.9662,82.51,92,45,4.29,US,2022-08-07 00:49:33
2,Mahebourg,-20.4081,57.7,68.29,88,40,11.5,MU,2022-08-07 00:53:54
3,Gimbi,9.1667,35.8333,52.11,97,24,2.91,ET,2022-08-07 00:53:54
4,Rikitea,-23.1203,-134.9692,69.75,66,100,22.01,PF,2022-08-07 00:53:55
5,Dandong,40.1292,124.3947,77.02,96,100,6.44,CN,2022-08-07 00:53:55
6,Ribeira Grande,38.5167,-28.7,75.16,83,22,9.84,PT,2022-08-07 00:53:56
7,Padang,-0.9492,100.3543,75.25,69,57,2.93,ID,2022-08-07 00:53:56
8,Ushuaia,-54.8,-68.3,33.46,80,0,0.0,AR,2022-08-07 00:52:23
9,Hermanus,-34.4187,19.2345,55.8,82,96,20.98,ZA,2022-08-07 00:53:57
10,Gat,31.61,34.7642,79.48,100,0,3.62,IL,2022-08-07 00:53:57
11,Arraial Do Cabo,-22.9661,-42.0278,70.11,74,99,10.67,BR,2022-08-07 00:53:58
12,Polson,47.6936,-114.1632,77.49,34,24,2.62,US,2022-08-07 00:53:58
13,Capitao Poco,-1.7464,-47.0594,72.68,94,100,5.1,BR,2022-08-07 00:53:58
14,Murmashi,68.8154,32.8115,57.61,100,40,7.0,RU,2022-08-07 00:53:59
15,Faanui,-16.4833,-151.75,78.21,74,100,25.57,PF,2022-08-07 00:53:59
16,Busselton,-33.65,115.3333,54.61,77,5,8.14,AU,2022-08-07 00:54:00
17,Ola,59.5833,151.2833,59.07,78,4,10.33,RU,2022-08-07 00:54:00
18,Atar,20.5169,-13.0499,92.73,32,100,5.82,MR,2022-08-07 00:54:01
19,Ostrovnoy,68.0531,39.5131,63.66,86,100,22.66,RU,2022-08-07 00:54:01
20,Hithadhoo,-0.6,73.0833,82.2,73,100,10.16,MV,2022-08-07 00:54:01
